event_id_cnty,event_date,event_type,sub_event_type,latitude,longitude,geo_precision,fatalities
UKR186948,10/4/2024,Battles,Armed clash,50.2908,36.9411,2,10
UKR186959,10/4/2024,Battles,Armed clash,48.5869,37.8324,2,0
UKR186960,10/4/2024,Battles,Armed clash,48.3934,37.8453,2,0
UKR186963,10/4/2024,Battles,Armed clash,48.1478,37.2977,2,0
UKR186967,10/4/2024,Battles,Armed clash,50.2405,36.7931,2,11
UKR186968,10/4/2024,Battles,Armed clash,50.3086,37.0117,2,10
UKR186969,10/4/2024,Battles,Armed clash,49.7634,37.7053,2,0
UKR186970,10/4/2024,Battles,Armed clash,50.0984,37.3589,2,0
UKR186971,10/4/2024,Battles,Armed clash,49.5693,37.8295,2,0
UKR186972,10/4/2024,Battles,Armed clash,49.4689,37.9059,2,0
UKR186973,10/4/2024,Battles,Armed clash,49.209,37.5947,2,0
UKR186974,10/4/2024,Battles,Armed clash,49.1581,37.9749,2,0
UKR186975,10/4/2024,Battles,Armed clash,49.2265,37.9863,2,0
UKR186976,10/4/2024,Battles,Armed clash,49.1267,37.9703,2,0
UKR186977,10/4/2024,Battles,Armed clash,48.859,38.1962,2,0
UKR186978,10/4/2024,Battles,Armed clash,48.8043,38.1474,2,0
UKR186979,10/4/2024,Battles,Armed clash,48.5365,37.827,2,0
UKR186980,10/4/2024,Battles,Armed clash,48.6107,37.8622,2,0
UKR186981,10/4/2024,Battles,Armed clash,48.5008,37.968,2,0
UKR186982,10/4/2024,Battles,Armed clash,48.3943,37.7901,2,0
UKR186983,10/4/2024,Battles,Armed clash,48.2501,37.3301,2,0
UKR186984,10/4/2024,Battles,Armed clash,48.2246,37.2648,2,0
UKR186985,10/4/2024,Battles,Armed clash,48.0842,37.3166,1,0
UKR186986,10/4/2024,Battles,Armed clash,47.9935,37.4014,2,0
UKR186987,10/4/2024,Battles,Armed clash,47.9636,37.4383,2,0
UKR186988,10/4/2024,Battles,Armed clash,47.8815,37.357,2,0
UKR186989,10/4/2024,Battles,Armed clash,47.8659,37.4083,2,0
UKR186990,10/4/2024,Battles,Armed clash,47.8601,37.2135,2,0
UKR186991,10/4/2024,Battles,Armed clash,47.4478,35.837,2,0
UKR186992,10/4/2024,Battles,Armed clash,47.5479,35.553,2,0
UKR186993,10/4/2024,Battles,Armed clash,47.5424,35.3662,2,0
UKR186997,10/4/2024,Battles,Armed clash,50.2037,36.4077,2,4
UKR187000,10/4/2024,Battles,Armed clash,49.0173,37.9613,2,2
UKR187052,10/4/2024,Battles,Armed clash,46.6558,32.6178,3,25
UKR187099,10/4/2024,Battles,Armed clash,47.4278,35.9898,2,0
UKR187100,10/4/2024,Battles,Armed clash,50.255,36.425,2,0
UKR187103,10/4/2024,Battles,Armed clash,48.3319,37.8358,2,0
UKR187106,10/4/2024,Battles,Non-state actor overtakes territory,48.0591,37.417,1,0
UKR186793,10/3/2024,Battles,Armed clash,49.7634,37.7053,2,0
UKR186794,10/3/2024,Battles,Armed clash,49.7162,37.7171,2,0
UKR186795,10/3/2024,Battles,Armed clash,49.6603,37.6987,2,0
UKR186796,10/3/2024,Battles,Armed clash,49.5693,37.8295,2,0
UKR186797,10/3/2024,Battles,Armed clash,49.741,37.913,2,0
UKR186798,10/3/2024,Battles,Armed clash,49.4069,37.8589,2,0
UKR186799,10/3/2024,Battles,Armed clash,49.2265,37.9863,2,0
UKR186800,10/3/2024,Battles,Armed clash,49.1267,37.9703,2,0
UKR186801,10/3/2024,Battles,Armed clash,49.0173,37.9613,2,0
UKR186802,10/3/2024,Battles,Armed clash,48.9207,38.0425,2,0
UKR186805,10/3/2024,Battles,Armed clash,48.8082,38.2588,2,0
UKR186806,10/3/2024,Battles,Armed clash,48.8177,37.5544,2,0
UKR186807,10/3/2024,Battles,Armed clash,48.4837,37.8688,2,0
UKR186808,10/3/2024,Battles,Armed clash,48.5365,37.827,2,0
UKR186809,10/3/2024,Battles,Armed clash,48.5869,37.8324,2,0
UKR186810,10/3/2024,Battles,Armed clash,48.3934,37.8453,2,0
UKR186813,10/3/2024,Battles,Armed clash,48.3225,37.7604,2,0
UKR186814,10/3/2024,Battles,Armed clash,48.0565,37.3718,2,17
UKR186815,10/3/2024,Battles,Armed clash,48.2889,37.4132,2,17
UKR186816,10/3/2024,Battles,Armed clash,48.2323,37.3382,2,17
UKR186819,10/3/2024,Battles,Armed clash,48.2797,37.559,2,17
UKR186820,10/3/2024,Battles,Armed clash,48.0842,37.3166,2,17
UKR186821,10/3/2024,Battles,Armed clash,47.9636,37.4383,2,17
UKR186822,10/3/2024,Battles,Armed clash,47.899,37.2175,2,17
UKR186823,10/3/2024,Battles,Armed clash,47.8755,37.3454,2,17
UKR186824,10/3/2024,Battles,Armed clash,47.8659,37.4083,2,17
UKR186825,10/3/2024,Battles,Armed clash,47.9749,37.3933,1,17
UKR186826,10/3/2024,Battles,Armed clash,47.8601,37.2135,2,0
UKR186827,10/3/2024,Battles,Armed clash,47.5242,35.8235,2,0
UKR186828,10/3/2024,Battles,Armed clash,47.5424,35.3662,2,0
UKR186829,10/3/2024,Battles,Armed clash,50.2908,36.9411,2,55
UKR186830,10/3/2024,Battles,Armed clash,50.2405,36.7931,2,55
UKR186832,10/3/2024,Battles,Armed clash,49.245,37.9205,2,0
UKR186833,10/3/2024,Battles,Armed clash,48.3515,37.837,2,0
UKR186834,10/3/2024,Battles,Armed clash,48.4136,37.8798,2,0
UKR186835,10/3/2024,Battles,Armed clash,48.2691,37.3179,2,17
UKR186836,10/3/2024,Battles,Armed clash,48.3034,37.5167,2,17
UKR186837,10/3/2024,Battles,Armed clash,47.8815,37.357,2,17
UKR186843,10/3/2024,Battles,Armed clash,49.263,37.8575,2,0
UKR186844,10/3/2024,Battles,Armed clash,48.2959,37.2704,2,17
UKR186845,10/3/2024,Battles,Armed clash,48.4082,37.1795,2,17
UKR186848,10/3/2024,Battles,Armed clash,49.5713,37.7169,2,0
UKR186893,10/3/2024,Battles,Armed clash,48.2053,37.3388,2,17
UKR186894,10/3/2024,Battles,Armed clash,47.4478,35.837,2,0
UKR186895,10/3/2024,Battles,Armed clash,47.5479,35.553,2,0
UKR186899,10/3/2024,Battles,Armed clash,46.6558,32.6178,3,37
UKR186900,10/3/2024,Battles,Armed clash,46.6558,32.6178,3,16
UKR186934,10/3/2024,Battles,Armed clash,48.2419,37.3372,2,16
UKR186626,10/2/2024,Battles,Armed clash,50.2908,36.9411,2,2
UKR186631,10/2/2024,Battles,Armed clash,49.9758,37.1758,2,1
UKR186637,10/2/2024,Battles,Armed clash,48.4098,37.9104,2,2
UKR186638,10/2/2024,Battles,Armed clash,48.7306,37.5816,2,1
UKR186639,10/2/2024,Battles,Armed clash,48.3934,37.8453,2,2
UKR186640,10/2/2024,Battles,Armed clash,47.8601,37.2135,2,0
UKR186645,10/2/2024,Battles,Armed clash,47.5325,35.8978,2,2
UKR186647,10/2/2024,Battles,Armed clash,46.7845,33.3377,2,2
UKR186648,10/2/2024,Battles,Armed clash,50.3086,37.0117,2,0
UKR186649,10/2/2024,Battles,Armed clash,49.7634,37.7053,2,0
UKR186650,10/2/2024,Battles,Armed clash,49.5693,37.8295,2,0
UKR186651,10/2/2024,Battles,Armed clash,49.242,37.8105,2,0
UKR186652,10/2/2024,Battles,Armed clash,49.656,37.7813,2,0
UKR186653,10/2/2024,Battles,Armed clash,49.4689,37.9059,2,0
UKR186654,10/2/2024,Battles,Armed clash,49.245,37.9205,2,0
UKR186655,10/2/2024,Battles,Armed clash,49.2265,37.9863,2,0
UKR186656,10/2/2024,Battles,Armed clash,49.1581,37.9749,2,1
UKR186657,10/2/2024,Battles,Armed clash,49.1267,37.9703,2,0
UKR186658,10/2/2024,Battles,Armed clash,49.0173,37.9613,2,1
UKR186659,10/2/2024,Battles,Armed clash,48.5722,37.9174,2,0
UKR186660,10/2/2024,Battles,Armed clash,48.6107,37.8622,2,0
UKR186661,10/2/2024,Battles,Armed clash,48.4837,37.8688,2,1
UKR186662,10/2/2024,Battles,Armed clash,48.4262,37.8761,2,0
UKR186663,10/2/2024,Battles,Armed clash,48.3515,37.837,2,0
UKR186664,10/2/2024,Battles,Armed clash,48.3943,37.7901,2,0
UKR186665,10/2/2024,Battles,Armed clash,48.3034,37.5167,2,0
UKR186666,10/2/2024,Battles,Armed clash,48.2889,37.4132,2,0
